Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;
83377;01/01/1964;0000;;26;;
83377;01/01/1964;1200;3.2;;18;
83377;02/01/1964;0000;;23.5;;
83377;02/01/1964;1200;3.2;;17.9;
83377;03/01/1964;0000;;26.7;;
83377;03/01/1964;1200;0;;18.1;
83377;04/01/1964;0000;;26.1;;
83377;04/01/1964;1200;0;;19.3;
83377;05/01/1964;0000;;28.2;;
83377;05/01/1964;1200;1.5;;17.5;
83377;06/01/1964;0000;;25.7;;
83377;06/01/1964;1200;37.8;;17.1;
83377;07/01/1964;0000;;28;;
83377;07/01/1964;1200;0;;16.8;
83377;08/01/1964;0000;;27;;
83377;08/01/1964;1200;1.5;;18.3;
83377;09/01/1964;0000;;27;;
83377;09/01/1964;1200;11;;19;
83377;10/01/1964;0000;;25.8;;
83377;10/01/1964;1200;3.3;;18.1;
83377;11/01/1964;0000;;25.3;;
83377;11/01/1964;1200;3.2;;18.3;
83377;12/01/1964;0000;;25;;
83377;12/01/1964;1200;6.5;;18.5;
83377;13/01/1964;0000;;23.6;;
83377;13/01/1964;1200;21.6;;17.7;
83377;14/01/1964;0000;;23.5;;
83377;14/01/1964;1200;20.1;;18;
83377;15/01/1964;0000;;21.8;;
83377;15/01/1964;1200;37.3;;17.9;
83377;16/01/1964;0000;;23.9;;
83377;16/01/1964;1200;61.5;;18.2;
83377;17/01/1964;0000;;25.4;;
83377;17/01/1964;1200;5.7;;18.8;
83377;18/01/1964;0000;;25;;
83377;18/01/1964;1200;0;;17.1;
83377;19/01/1964;0000;;26;;
83377;19/01/1964;1200;9.9;;17.9;
83377;20/01/1964;0000;;25.5;;
83377;20/01/1964;1200;53.8;;17.1;
83377;21/01/1964;0000;;24.8;;
83377;21/01/1964;1200;23.5;;17.3;
83377;22/01/1964;0000;;21.5;;
83377;22/01/1964;1200;22.6;;17.4;
83377;23/01/1964;0000;;19;;
83377;23/01/1964;1200;36.2;;17.1;
83377;24/01/1964;0000;;20.3;;
83377;24/01/1964;1200;46.9;;17.1;
83377;25/01/1964;0000;;24.6;;
83377;25/01/1964;1200;4.6;;17.6;
83377;26/01/1964;0000;;24;;
83377;26/01/1964;1200;0;;17.9;
83377;27/01/1964;0000;;25.8;;
83377;27/01/1964;1200;18.3;;17.4;
83377;28/01/1964;0000;;27.2;;
83377;28/01/1964;1200;0;;17.7;
83377;29/01/1964;0000;;25.2;;
83377;29/01/1964;1200;21.2;;18.4;
83377;30/01/1964;0000;;26.6;;
83377;30/01/1964;1200;6.8;;18.5;
83377;31/01/1964;0000;;26.7;;
83377;31/01/1964;1200;2.1;;19.2;
83377;01/02/1964;0000;;23.4;;
83377;01/02/1964;1200;0;;18.6;
83377;02/02/1964;0000;;26.5;;
83377;02/02/1964;1200;28.8;;17.5;
83377;03/02/1964;0000;;28;;
83377;03/02/1964;1200;0.2;;19.2;
83377;04/02/1964;0000;;30.5;;
83377;04/02/1964;1200;3.3;;18.5;
83377;05/02/1964;0000;;27.5;;
83377;05/02/1964;1200;34.4;;19.6;
83377;06/02/1964;0000;;28.5;;
83377;06/02/1964;1200;54;;19.1;
83377;07/02/1964;0000;;29.7;;
83377;07/02/1964;1200;9.2;;19.1;
83377;08/02/1964;0000;;27.2;;
83377;08/02/1964;1200;0;;18.5;
83377;09/02/1964;0000;;27.8;;
83377;09/02/1964;1200;0;;19.3;
83377;10/02/1964;0000;;25.7;;
83377;10/02/1964;1200;0;;19.2;
83377;11/02/1964;0000;;25;;
83377;11/02/1964;1200;31.1;;19;
83377;12/02/1964;0000;;26.5;;
83377;12/02/1964;1200;21;;18.9;
83377;13/02/1964;0000;;27.4;;
83377;13/02/1964;1200;3.9;;18.6;
83377;14/02/1964;0000;;26.8;;
83377;14/02/1964;1200;0.2;;18.8;
83377;15/02/1964;0000;;24.5;;
83377;15/02/1964;1200;2.4;;19.4;
83377;16/02/1964;0000;;24.9;;
83377;16/02/1964;1200;7.6;;18.4;
83377;17/02/1964;0000;;28.1;;
83377;17/02/1964;1200;1;;17.8;
83377;18/02/1964;0000;;28.2;;
83377;18/02/1964;1200;0;;18.8;
83377;19/02/1964;0000;;25.3;;
83377;19/02/1964;1200;28.4;;17.2;
83377;20/02/1964;0000;;25.5;;
83377;20/02/1964;1200;24.1;;18.2;
83377;21/02/1964;0000;;24.3;;
83377;21/02/1964;1200;14.2;;18.4;
83377;22/02/1964;0000;;24.2;;
83377;22/02/1964;1200;24.7;;16.7;
83377;23/02/1964;0000;;21.5;;
83377;23/02/1964;1200;0;;16.6;
83377;24/02/1964;0000;;26;;
83377;24/02/1964;1200;7.4;;15.4;
83377;25/02/1964;0000;;27.7;;
83377;25/02/1964;1200;0;;16.3;
83377;26/02/1964;0000;;27.2;;
83377;26/02/1964;1200;0;;16.8;
83377;27/02/1964;0000;;25.6;;
83377;27/02/1964;1200;36;;17.4;
83377;28/02/1964;0000;;28.1;;
83377;28/02/1964;1200;0;;18.9;
83377;29/02/1964;0000;;28.6;;
83377;29/02/1964;1200;0;;17.9;
83377;01/03/1964;0000;;28.5;;
83377;01/03/1964;1200;0;;18.8;
83377;02/03/1964;0000;;24.7;;
83377;02/03/1964;1200;0;;18.8;
83377;03/03/1964;0000;;27.3;;
83377;03/03/1964;1200;4.8;;17.9;
83377;04/03/1964;0000;;27.7;;
83377;04/03/1964;1200;0;;16.9;
83377;05/03/1964;0000;;28;;
83377;05/03/1964;1200;0.1;;16.6;
83377;06/03/1964;0000;;26.8;;
83377;06/03/1964;1200;0;;17.3;
83377;07/03/1964;0000;;26.8;;
83377;07/03/1964;1200;0.3;;16.3;
83377;08/03/1964;0000;;27.3;;
83377;08/03/1964;1200;0.1;;16.7;
83377;09/03/1964;0000;;27;;
83377;09/03/1964;1200;0;;17.5;
83377;10/03/1964;0000;;27.4;;
83377;10/03/1964;1200;0;;17.1;
83377;11/03/1964;0000;;27.4;;
83377;11/03/1964;1200;0;;17.2;
83377;12/03/1964;0000;;29.9;;
83377;12/03/1964;1200;0;;18.7;
83377;13/03/1964;0000;;29.8;;
83377;13/03/1964;1200;0;;16.2;
83377;14/03/1964;0000;;30.5;;
83377;14/03/1964;1200;0;;19;
83377;15/03/1964;0000;;30.7;;
83377;15/03/1964;1200;0;;16.9;
83377;16/03/1964;0000;;28.9;;
83377;16/03/1964;1200;0;;18.7;
83377;17/03/1964;0000;;28.1;;
83377;17/03/1964;1200;0;;18.1;
83377;18/03/1964;0000;;25.8;;
83377;18/03/1964;1200;21.3;;17.8;
83377;19/03/1964;0000;;24.3;;
83377;19/03/1964;1200;0;;18.4;
83377;20/03/1964;0000;;25.3;;
83377;20/03/1964;1200;14.2;;17.9;
83377;21/03/1964;0000;;26.3;;
83377;21/03/1964;1200;0;;17.5;
83377;22/03/1964;0000;;26.5;;
83377;22/03/1964;1200;0;;17.1;
83377;23/03/1964;0000;;27.4;;
83377;23/03/1964;1200;0;;16.1;
83377;24/03/1964;0000;;28.5;;
83377;24/03/1964;1200;0;;15.5;
83377;25/03/1964;0000;;28.5;;
83377;25/03/1964;1200;0;;16.9;
83377;26/03/1964;0000;;28.3;;
83377;26/03/1964;1200;0;;18.5;
83377;27/03/1964;0000;;27;;
83377;27/03/1964;1200;42.2;;18.5;
83377;28/03/1964;0000;;24.8;;
83377;28/03/1964;1200;1;;18.4;
83377;29/03/1964;0000;;25.7;;
83377;29/03/1964;1200;16.8;;18.1;
83377;30/03/1964;0000;;28.6;;
83377;30/03/1964;1200;0;;17.1;
83377;31/03/1964;0000;;25;;
83377;31/03/1964;1200;111.8;;17.8;
83377;01/04/1964;0000;;25.8;;
83377;01/04/1964;1200;6;;18.3;
83377;02/04/1964;0000;;26.9;;
83377;02/04/1964;1200;13.8;;17.9;
83377;03/04/1964;0000;;26;;
83377;03/04/1964;1200;45;;17.4;
83377;04/04/1964;0000;;26;;
83377;04/04/1964;1200;0.8;;18.5;
83377;05/04/1964;0000;;26.3;;
83377;05/04/1964;1200;0;;17.2;
83377;06/04/1964;0000;;26.9;;
83377;06/04/1964;1200;0;;16.9;
83377;07/04/1964;0000;;27.4;;
83377;07/04/1964;1200;0;;17;
83377;08/04/1964;0000;;28.4;;
83377;08/04/1964;1200;0;;16.1;
83377;09/04/1964;0000;;27.5;;
83377;09/04/1964;1200;0;;16.5;
83377;10/04/1964;0000;;27.7;;
83377;10/04/1964;1200;0;;16;
83377;11/04/1964;0000;;28.3;;
83377;11/04/1964;1200;0;;16;
83377;12/04/1964;0000;;28.3;;
83377;12/04/1964;1200;0;;17.5;
83377;13/04/1964;0000;;27.5;;
83377;13/04/1964;1200;0;;16.9;
83377;14/04/1964;0000;;27.6;;
83377;14/04/1964;1200;0;;16.5;
83377;15/04/1964;0000;;27.6;;
83377;15/04/1964;1200;0;;17.5;
83377;16/04/1964;0000;;27.4;;
83377;16/04/1964;1200;0;;16.7;
83377;17/04/1964;0000;;28;;
83377;17/04/1964;1200;0;;17.2;
83377;18/04/1964;0000;;27.7;;
83377;18/04/1964;1200;0;;16;
83377;19/04/1964;0000;;27.8;;
83377;19/04/1964;1200;0;;15;
83377;20/04/1964;0000;;27.7;;
83377;20/04/1964;1200;0;;16.7;
83377;21/04/1964;0000;;27.7;;
83377;21/04/1964;1200;0;;16.7;
83377;22/04/1964;0000;;27.4;;
